date,model,is_sft,is_best,task,dataset_variant,num_samples,num_keypoints,oks_score,oks_confidence_weighted,f1_score,precision,recall,mae_total,mae_x,mae_y,euclidean_distance,pck_50,pck_100,pck_150,per_keypoint_accuracy,left_right_confusion,exact_match,error_detection_acc,accuracy,parse_rate,correct_count,timestamp,result_file,json_path
2026-01-06,qwen3-vl-235b-a22b-instruct,False,False,task3a,v1_mixed,4399,25,,,0.031765,0.153969,0.023358,,,,,,,,,0.000000,,0.494658,,,,20260106_180536,task3a_v1_mixed_235b_20260106_180536,/mnt/data/sgsilva/vlm-evaluation/results/final/task3a_v1_mixed_235b_20260106_180536.json
2026-01-07,qwen3-vl-4b-instruct,False,False,task3a,v1_mixed,4399,25,,,0.036888,0.092075,0.031825,,,,,,,,,0.000000,,0.494658,,,,20260107_214044,task3a_v1_mixed_4b_20260107_214044,/mnt/data/sgsilva/vlm-evaluation/results/final/task3a_v1_mixed_4b_20260107_214044.json
2026-01-15,gemini-3-pro-preview,False,True,task3a,v1_mixed,100,25,,,0.415938,0.469163,0.447500,,,,,,,,,0.000000,,0.590000,,,,20260115_210858,task3a_v1_mixed_test100_gemini3_20260115_210858,/mnt/data/sgsilva/vlm-evaluation/results/final/task3a_v1_mixed_test100_gemini3_20260115_210858.json
2026-02-18,qwen3-vl-4b-instruct,False,True,task3b,baseline_mixed_final,4399,25,0.104363,,0.115144,0.333095,0.129461,264.135846,,,,,,,,0.044786,,0.707434,,,,20260218_180758,task3b_baseline_mixed_final_20260218_180758,/mnt/data/sgsilva/vlm-evaluation/results/final/task3b_baseline_mixed_final_20260218_180758.json
2026-02-18,qwen3-vl-4b-4epochs-mixed-final-a-step1125,True,False,task3b,mixed_final_a,4399,25,0.088127,,0.411836,0.891339,0.344844,366.262737,,,,,,,,0.010519,,0.746306,,,,20260218_180619,task3b_mixed_final_a_test_step1125_20260218_180619,/mnt/data/sgsilva/vlm-evaluation/results/final/task3b_mixed_final_a_test_step1125_20260218_180619.json
2026-02-19,qwen3-vl-4b-4epochs-mixed-final-a-step2250,True,False,task3b,mixed_final_a,4399,25,0.088942,,0.436690,0.920891,0.367527,379.467473,,,,,,,,0.007387,,0.746306,,,,20260219_102428,task3b_mixed_final_a_test_step2250_20260219_102428,/mnt/data/sgsilva/vlm-evaluation/results/final/task3b_mixed_final_a_test_step2250_20260219_102428.json
2026-02-19,qwen3-vl-4b-4epochs-mixed-final-a-step4500,True,True,task3b,mixed_final_a,4399,25,0.105420,,0.440638,0.924301,0.371819,350.538968,,,,,,,,0.006940,,0.746306,,,,20260219_131242,task3b_mixed_final_a_test_step4500_20260219_131242,/mnt/data/sgsilva/vlm-evaluation/results/final/task3b_mixed_final_a_test_step4500_20260219_131242.json
2026-02-13,unknown,True,False,task3b,mixed_v2_phase1,2400,25,0.145723,,0.926430,0.911476,0.946289,260.433478,,,,,,,,0.006435,,1.000000,,,,20260213_142948,task3b_mixed_v2_phase1_test_step843_20260213_142948,/mnt/data/sgsilva/vlm-evaluation/results/final/task3b_mixed_v2_phase1_test_step843_20260213_142948.json
2026-02-13,unknown,True,True,task3b,mixed_v2_phase1,1150,25,0.219064,,0.989759,0.990894,0.988841,257.515376,,,,,,,,0.000393,,1.000000,,,,20260213_143422,task3b_mixed_v2_phase1_test_step1686_20260213_143422,/mnt/data/sgsilva/vlm-evaluation/results/final/task3b_mixed_v2_phase1_test_step1686_20260213_143422.json
2026-02-13,qwen3-vl-4b-4epochs-mixed-v3-step1125,True,False,task3b,mixed_v3,4399,25,0.112151,,0.939718,0.936246,0.945355,315.119001,,,,,,,,0.005066,,1.000000,,,,20260213_163322,task3b_mixed_v3_test_step1125_20260213_163322,/mnt/data/sgsilva/vlm-evaluation/results/final/task3b_mixed_v3_test_step1125_20260213_163322.json
